(1, 15, 152),
(1, 18, 246),
(1, 13, 26),
(2, 2, 333),
(2, 9, 362),
(3, 2, 84),
(3, 5, 312),
(3, 8, 157),
(4, 5, 288),
(5, 4, 182),
(6, 9, 118),
(6, 7, 297),
(6, 5, 245),
(7, 13, 325),
(7, 8, 45),
(8, 9, 36),
(8, 14, 25),
(8, 14, 254),
(9, 11, 289),
(10, 9, 44),
(11, 16, 317),
(12, 17, 175),
(12, 13, 237),
(12, 5, 2),
(13, 9, 10),
(14, 13, 223),
(15, 16, 63),
(16, 7, 119),
(16, 10, 278),
(16, 2, 224),
(17, 4, 277),
(17, 3, 329),
(17, 14, 51),
(18, 12, 232),
(18, 17, 145),
(19, 2, 253),
(20, 13, 349),
